,transcript
171,"But I, I do say from my perspective as a governor in the north, for, for our citizens, really, we
are so focused on jobs that that for us is--has got to be the number one issue, which is why"
172,"I'm a very big proponent of the energy bill as a way to create jobs. So immigration is really
important. Obviously, it's much more important in states like New Mexico. "
173,"MR. GREGORY: But this is an interesting point because, Congressman Pence, the president
came out and said, you know, there was some debate about whether immigration would be an
agenda item that he would push before energy legislation. He said this week there simply aren't
the votes for it, particularly from Republicans."
174,"REP. PENCE: Well, well, let, let's be clear for a second. This is no laughing matter for the
people of Arizona who are--have been profoundly affected by the fact that there's nearly a half a million illegal immigrants and, and a rampant drug trade and, and, and human trafficking trade that's been besetting. Phoenix, Arizona, is, is the kidnapping capital of the United State of America. I don't know if this law is perfect, but I knew--do know that it is wrong for officials in this government to throw stones at the people of Arizona as they're trying to, to reassert the rule of law in the wake of the fact that this administration and this Congress have been
systematically cutting funding to border security since the Democrats took control."
175,"MR. GREGORY: Of course, it was Republicans who blocked comprehensive immigration
reform. Let's be clear about that."
176,"REP. PENCE: Well, let--well, let, let's focus on border security first, David."
177,MR. GREGORY: Right.
178,"REP. PENCE: In, in fiscal..."
179,"MR. GREGORY: The bill called for that. The Bush bill called for more border security,
Republicans were with him..."
180,REP. PENCE: Right.
181,MR. GREGORY: ...until they were against him on that.
182,"REP. PENCE: David, here's the numbers. Fiscal 2007, the last year Republicans wrote a
budget, $1.2 billion for border security and fencing. By 2010 that was cut by--to $800 billion.
If you'd kept funding level..."
183,MR. GREGORY: Right.
184,"REP. PENCE: I mean, the Democrats have cut three-quarters of a trillion out of this..."
185,MR. GREGORY: All right.
186,REP. PENCE: ...and the president wants to go to 50 percent of the level that Republicans...
187,MR. GREGORY: Governor...
188,REP. PENCE: ...spent on border security. We have got to take border security seriously.
189,"MR. GREGORY: All right, Governor Richardson..."
190,REP. PENCE: We can't blame Arizonans for trying to reaffirm the rule of law.
191,"MR. GREGORY: ...final, final, final thought on this."
192,"GOV. RICHARDSON: This law in Arizona is terrible. What the administration needs to do is
challenge it because it's unconstitutional. Immigration is a federal matter. One hundred
thousand demonstrators were out on the streets yesterday against this law around this country, dwarfing the tea party demonstrations. There's going to be an anti-immigration hysteria creeping up, and the Congress needs to act. But President Bush deserves credit for trying to move an immigration bill; Senator Obama's--President Obama's on the right path asking for a bill that says an earned legalization, those that have to pay back taxes, learn English, get to the back of the line, pay a fine. More border security, I agree with the congressman. But I think the congressman and many Republicans all they want to do is more border security. Yeah, we need it. I'm on the border, too. We need more technology, we need more border patrol, we need the National Guard. But you have to do it simultaneously as an earned legalization pack. "
